question,answer,locale,topic
¿Qué es Instant Decision IUL de Americo?,"Instant Decision IUL es vida universal indexada con suscripción simplificada y solicitud electrónica instantánea. Edades 18–70. Montos típicos $50,000–$450,000 sin examen en ese rango. El valor en efectivo puede acreditarse con opciones punto a punto del S&P 500 (participación o tope) más una cuenta de interés declarado. Los anexos de beneficio en vida por enfermedad crítica, crónica o terminal que califique van incluidos sin prima extra. Usar el beneficio en vida suele terminar la póliza; no es un pago parcial pequeño. Los valores ilustrados no están garantizados. Mejor Vida revisa una ilustración completa antes de firmar.",es,americo
What term life does Americo offer through Mejor Vida?,"Americo’s Instant Decision Term Series is simplified issue (typically no exam) with instant eApplication. Most plans offer $25,000–$450,000. Options include Term 100 and Term 125 (level term with living benefits; Term 125 includes accidental death extras), CBO 100 and CBO 50 (universal life that can return 100% or 50% of base premiums at the end of the cash-back period if the policy is surrendered then), Continuation 10/25 (after the level period, coverage continues at 10% or 25% of the original face with premiums that do not increase), Payment Protector (decreasing term that can pay monthly income or a lump sum), and an accident-focused ADB plan. LifeTerm offers 15-, 20-, or 30-year terms with coverage designed to last to age 95 and a minimum face of $50,000. Living benefits on qualifying plans are included at no extra premium.",en,americo
¿Qué seguro temporal ofrece Americo en Mejor Vida?,"La serie Instant Decision Term de Americo es emisión simplificada (normalmente sin examen) con solicitud electrónica instantánea. La mayoría de planes ofrecen $25,000–$450,000. Opciones: Term 100 y Term 125 (temporal nivelada con beneficios en vida; Term 125 incluye extras por muerte accidental), CBO 100 y CBO 50 (vida universal que puede devolver 100% o 50% de las primas base al final del período si se cancela entonces), Continuation 10/25 (después del período nivelado la cobertura sigue al 10% o 25% del monto original con primas que no suben), Payment Protector (temporal decreciente que puede pagar renta mensual o un solo pago) y un plan ADB enfocado en accidentes. LifeTerm ofrece plazos de 15, 20 o 30 años pensados hasta los 95, con mínimo $50,000. En los planes que califican, los beneficios en vida van incluidos.",es,americo
What is Americo CBO term or cash back option?,"CBO 100 and CBO 50 are Americo universal life policies in the Instant Decision Term Series. If the policy is still in force at the end of the cash-back period (20, 25, or 30 years depending on the plan), the owner can receive 100% (CBO 100) or 50% (CBO 50) of the base cash-back premiums paid — not including rider premiums, and reduced by any loan. Living benefit riders are included. Issue ages start at 20; maximum ages are lower for nicotine users and longer terms. This is not the same as a bank CD. Mejor Vida illustrates the actual period and what is returned.",en,americo
¿Qué es CBO o cash back de Americo?,"CBO 100 y CBO 50 son pólizas de vida universal de Americo en la serie Instant Decision Term. Si la póliza sigue vigente al final del período (20, 25 o 30 años según el plan), el dueño puede recibir 100% (CBO 100) o 50% (CBO 50) de las primas base de cash-back — sin primas de anexos y menos cualquier préstamo. Incluyen beneficios en vida. La edad mínima es 20; las máximas bajan con nicotina y plazos más largos. No es un CD bancario. Mejor Vida ilustra el período y lo que se devuelve.",es,americo
What is Americo Payment Protector?,"Payment Protector is decreasing term life. The death benefit can be paid as monthly income for the remaining benefit period (at least 24 months) or as a lump sum. Typical initial lump-sum equivalents range from $25,000 to $450,000. Periods include 15, 20, 25, 30 years and to age 70. There is also Payment Protector Continuation: if monthly income is not used, a death benefit equal to 10% of the original lump sum can continue, with premiums that do not increase. No medical exam through $450,000 when the applicant qualifies.",en,americo
¿Qué es Payment Protector de Americo?,"Payment Protector es temporal decreciente. El beneficio puede pagarse como renta mensual por el período restante (mínimo 24 meses) o en un solo pago. El equivalente inicial típico va de $25,000 a $450,000. Plazos de 15, 20, 25, 30 años y hasta los 70. También existe Payment Protector Continuation: si no se usa la renta mensual, puede quedar un beneficio igual al 10% del monto inicial, con primas que no aumentan. Sin examen médico hasta $450,000 si califica.",es,americo
What annuities does Americo offer through Mejor Vida?,"Mejor Vida can discuss Americo Elite 5 (a single-premium indexed annuity with a 5-year surrender/index design and multiple index options) and Platinum Assure Series (a multi-year guaranteed annuity with 2- to 7-year rate guarantees, penalty-free withdrawals each year including year 1, a 45-day rate lock, and a nursing-home waiver where available). These are insurance contracts, not bank deposits or securities. Interest rates change; current rates are confirmed at application. Annuity sales require a suitability review. Platinum Assure 5 is a California-specific form — other states use Platinum Assure Series.",en,americo
¿Qué anualidades de Americo ofrece Mejor Vida?,"Mejor Vida puede hablar de Americo Elite 5 (anualidad indexada de prima única con diseño de 5 años y varias opciones de índice) y Platinum Assure Series (anualidad con tasa garantizada a 2–7 años, retiros sin penalización cada año incluyendo el primero, bloqueo de tasa de 45 días y exención por hogar de ancianos donde aplique). Son contratos de seguro, no depósitos bancarios ni valores. Las tasas cambian; se confirman al solicitar. La venta de anualidades requiere revisión de idoneidad. Platinum Assure 5 es el formulario de California; en otros estados se usa Platinum Assure Series.",es,americo
Who underwrites Americo life insurance Mejor Vida sells?,"Americo products Mejor Vida offers are underwritten by Americo Financial Life and Annuity Insurance Company (Kansas City, Missouri). The company is authorized in the District of Columbia and the states where it is licensed — not New York. Specific products and riders still vary by state. See Mejor Vida’s licenses page for where the agency can write business.",en,americo
¿Quién suscribe los seguros Americo que vende Mejor Vida?,"Los productos Americo que ofrece Mejor Vida los suscribe Americo Financial Life and Annuity Insurance Company (Kansas City, Missouri). La compañía está autorizada en el Distrito de Columbia y los estados donde tiene licencia — no en Nueva York. Productos y anexos varían por estado. Consulte la página de licencias de Mejor Vida para ver dónde puede emitir la agencia.",es,americo
How do I apply for Americo coverage with Mejor Vida?,"Mejor Vida Insurance compares options and, when Americo fits, completes an application. Eagle Select, Instant Decision term, and Instant Decision IUL use Americo’s instant electronic application (text or email signature). AdvantageWL uses a paper application. You will answer health questions honestly; the carrier may check prescription and other databases. There is no obligation until you accept a policy. Call Mejor Vida Insurance at 402-440-5438 or use the quote form on this site.",en,americo
¿Cómo solicito cobertura Americo con Mejor Vida?,"Mejor Vida Seguros compara opciones y, si Americo encaja, completa la solicitud. Eagle Select, el temporal Instant Decision y el IUL Instant Decision usan la solicitud electrónica instantánea (firma por texto o correo). AdvantageWL usa solicitud en papel. Debe responder las preguntas de salud con honestidad; la aseguradora puede revisar recetas y otras bases de datos. No hay obligación hasta aceptar una póliza. Llame a Mejor Vida Seguros al 402-440-5438 o use el formulario de cotización.",es,americo
Does Americo sell guaranteed issue life insurance?,"Americo Eagle Select is simplified issue, not guaranteed issue. Applicants answer health questions and can be offered tier 1, 2, or 3 — or declined. Eagle Select 3 is a graded benefit for people who do not qualify for level coverage; it is still underwritten, not a no-questions guaranteed-acceptance policy. If guaranteed acceptance is the right fit, Mejor Vida can discuss other appointed carriers that offer that design.",en,americo
¿Americo vende seguro de vida de aceptación garantizada?,"Eagle Select de Americo es emisión simplificada, no aceptación garantizada. El solicitante responde preguntas de salud y puede recibir nivel 1, 2 o 3 — o un rechazo. El nivel 3 es un beneficio gradual para quien no califica a cobertura nivelada; igual hay suscripción, no es un plan sin preguntas. Si necesita aceptación garantizada, Mejor Vida puede hablar de otras aseguradoras nombradas con ese diseño.",es,americo
