question,answer,source,language,category
Does American Amicable offer a nursing home rider?,"Yes. The Nursing Home Waiver of Premium Rider is available on both Senior Choice® and Golden Solution®. If you are confined to a nursing home, this rider waives your premium payments while keeping your policy in force. Spanish brochure available (form 9995S).",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,carrier_product
Does American Amicable have a confined care rider?,"Yes. The Confined Care Rider (Accelerated Benefits Rider) is available on Senior Choice® and Golden Solution®. This rider allows early access to a portion of the death benefit if you are confined to a care facility or unable to perform activities of daily living.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,carrier_product
Does American Amicable have a rider for terminal illness?,"Yes. The Terminal Illness Accelerated Benefit Rider is included on Senior Choice® and Golden Solution® in Nebraska (disclosure form AA9474-NE). This rider allows early access to a portion of the death benefit if you are diagnosed with a terminal illness.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,carrier_product
Does American Amicable have a grandchild rider?,"Yes. The Grandchild Rider (GCIA — Grandchild Coverage Included Agreement) is available on Senior Choice® and Golden Solution®. This rider adds a small coverage amount for grandchildren. Spanish version available (form 3838S).",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,carrier_product
How do I file a claim with American Amicable?,"To file a claim with American Amicable, the fastest method is the Live Chat feature at americanamicable.com — select the Claims department. You can also use the Contact Us form on their website. Spanish-speaking clients can send an email. The agent (Julie) also has access to the Agent Death Claim Script (form 3600) to help guide families through the process.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,claims
What is American Amicable's phone number?,"American Amicable's main phone number is 1-800-736-7311. For policyholder (client) questions, use prompt 1-1-7 for Client Experience. For new business questions, use prompt 1-1-1. You can also reach them through the Live Chat on their website at americanamicable.com.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,contact
Does American Amicable offer Spanish language service?,"Yes. American Amicable offers Spanish-language brochures, agent guides, and materials for Senior Choice® and Golden Solution®. Spanish-speaking clients can also email American Amicable directly. Julie at Mejor Vida Insurance is bilingual and specializes in serving Spanish-speaking clients in Nebraska.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,carrier_product
What insurance companies does Mejor Vida Insurance work with?,"Mejor Vida Insurance works with three top final expense carriers: Mutual of Omaha, Assurity Life Insurance, and American Amicable. Each carrier offers different products, age ranges, and underwriting criteria — which means Julie can find the best fit for your specific situation. Call or text Julie at 402-440-5438 for a free comparison.",Mejor Vida Insurance — confirmed carriers,en,agency
What is the difference between a level benefit and a graded benefit plan?,"A level benefit plan pays the full death benefit from day one — there is no waiting period for qualified applicants. A graded benefit plan has a waiting period (typically 2 years) for death from natural causes. During the graded period, the policy pays a return of premiums plus interest instead of the full face amount. After the waiting period ends, the full benefit is paid. Level plans require better health to qualify. Graded plans are available to people who cannot qualify for a level plan.",Standard industry definition confirmed across carrier portals — April 21 2026,en,general_education
What is simplified issue life insurance?,"Simplified issue means the policy is approved based on answers to a set of health questions — no blood draw, no medical exam, and no doctor visit required. All three carriers Mejor Vida Insurance works with (Mutual of Omaha, Assurity, and American Amicable) offer simplified issue final expense policies. Approval can often be same-day or instant.",Standard industry definition confirmed across carrier portals — April 21 2026,en,general_education
What is an Accelerated Death Benefit Rider?,"An Accelerated Death Benefit Rider (also called a terminal illness rider or living benefit rider) allows the policyholder to receive a portion of the death benefit early if they are diagnosed with a terminal illness — typically defined as having 12–24 months to live. This money can be used for any purpose: medical bills, end-of-life care, final arrangements, or anything else. This rider is available on Mutual of Omaha Living Promise® Level Benefit, Assurity whole life policies, and American Amicable Senior Choice® and Golden Solution®.",Confirmed across all three carrier portals — April 21 2026,en,general_education
What conditions require extra underwriting questionnaires at American Amicable?,"American Amicable may require additional questionnaires for the following conditions: Cancer, Diabetes, High Blood Pressure, Arthritis, Asthma, Seizure disorder/Epilepsy, Mental health/psychiatric disorders, Respiratory conditions, Driving history, and Bankruptcy. Having one of these conditions does not automatically mean a decline — contact Julie at 402-440-5438 to discuss your situation and request a pre-qualification risk assessment.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,underwriting
Can I get a risk assessment before applying for American Amicable?,Yes. American Amicable allows agents to request a risk assessment before submitting an application. This tells you whether a client is likely to qualify based on their health history — without creating a formal application on their record. Contact Julie at 402-440-5438 and she can request the risk assessment on your behalf.,American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,en,underwriting
What carriers does Mejor Vida Insurance use for final expense insurance?,"Mejor Vida Insurance works with Mutual of Omaha, Assurity, and American Amicable — three established, reputable final expense carriers. Julie shops all three to find the best rate and plan for your specific health profile and budget. To get a free comparison, call or text 402-440-5438 or message on WhatsApp.",Mejor Vida Insurance — confirmed carriers,en,agency
¿Qué productos de gastos finales ofrece Mutual of Omaha?,"Mutual of Omaha ofrece el seguro de vida entera Living Promise® — una póliza de emisión simplificada diseñada específicamente para gastos finales y gastos de entierro. Viene en dos planes: el Plan de Beneficio Nivel (edades 45–85, $2,000–$50,000) y el Plan de Beneficio Graduado (edades 45–80, $2,000–$20,000). No se requiere examen médico.",Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,es,carrier_product
¿Mutual of Omaha requiere un examen médico?,"No. Living Promise® de Mutual of Omaha es de emisión simplificada — no se requiere examen médico. La aprobación se basa en las respuestas a preguntas de salud en la solicitud. No se requiere extracción de sangre ni visita al médico.",Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,es,underwriting
¿Cuáles son los límites de edad para el seguro de gastos finales de Mutual of Omaha?,"El Plan de Beneficio Nivel está disponible para solicitantes de 45 a 85 años. El Plan de Beneficio Graduado está disponible para solicitantes de 45 a 80 años. Ambos planes están disponibles para residentes de Nebraska.",Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,es,underwriting
¿Qué es el Plan de Beneficio Nivel de Mutual of Omaha?,"El Plan de Beneficio Nivel de Living Promise® ofrece cobertura completa desde el primer día — sin período de espera para solicitantes calificados. Está disponible para edades 45–85 con cobertura de $2,000 hasta $50,000. Incluye el Rider de Beneficio por Muerte Acelerada. No se requiere examen médico.",Mutual of Omaha agent portal (producer2.mutualofomaha.com) — April 21 2026,es,carrier_product
¿Assurity es una compañía de Nebraska?,"Sí. Assurity Life Insurance Company tiene su sede en Lincoln, Nebraska. Como empresa con base en Nebraska, tiene una larga historia de servir a los residentes locales.",Assurity Agent Center (agentcenter.assurity.com) — April 21 2026,es,carrier_product
¿Assurity requiere un examen médico?,"No. Assurity usa suscripción acelerada — no se requiere examen médico para montos calificados. Para solicitantes de 66 a 85 años, Assurity ofrece aprobación sin examen para hasta $100,000 en cobertura. La aprobación se basa en respuestas a preguntas de salud y verificaciones electrónicas de bases de datos.",Assurity Agent Center (agentcenter.assurity.com) — April 21 2026,es,underwriting
¿Qué productos de gastos finales ofrece American Amicable en Nebraska?,"American Amicable ofrece dos productos de vida entera para gastos finales en Nebraska para solicitantes de 50 a 85 años: Senior Choice® y Golden Solution®. Ambos son pólizas de emisión simplificada — no se requiere examen médico. Ambos incluyen riders de beneficios en vida y están disponibles con materiales en español. La alineación del débito de prima con el pago del Seguro Social está disponible en ambos productos.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,es,carrier_product
¿American Amicable requiere un examen médico?,"No. El Senior Choice® y Golden Solution® de American Amicable usan una solicitud de emisión simplificada — no se requiere examen médico. La aprobación se basa en respuestas a preguntas de salud.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,es,underwriting
¿Puedo pagar mi prima de American Amicable en la fecha de mi pago del Seguro Social?,"Sí. American Amicable puede alinear el débito de su prima con la fecha de su pago del Seguro Social. Las opciones incluyen pagos recibidos el 1ro, el 3ro, el 2do miércoles, el 3er miércoles, o el 4to miércoles del mes.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,es,carrier_product
¿American Amicable tiene materiales en español?,"Sí. American Amicable ofrece folletos, guías del agente y materiales en español para Senior Choice® y Golden Solution®. Julie en Mejor Vida Insurance es bilingüe y se especializa en atender a clientes de habla hispana en Nebraska.",American Amicable agent portal (marketing.americanamicable.com) — April 21 2026,es,carrier_product
¿Qué es un beneficio graduado / período de espera?,"Muchas pólizas de gastos finales — especialmente los planes de beneficio graduado o modificado — incluyen un período de espera de 2 años para muerte por causas naturales. Durante este período, la póliza generalmente paga una devolución de primas más intereses en lugar del monto total del beneficio. Los planes de beneficio inmediato (nivel) NO tienen período de espera para solicitantes saludables. La muerte accidental generalmente paga el beneficio completo desde el primer día en todos los planes.",Standard industry definition confirmed across carrier portals — April 21 2026,es,general_education
¿Qué significa emisión simplificada?,"Emisión simplificada significa que la póliza se aprueba basándose en respuestas a un conjunto de preguntas de salud — sin extracción de sangre, sin examen médico, y sin visita al médico. Las tres compañías con las que trabaja Mejor Vida Insurance (Mutual of Omaha, Assurity y American Amicable) ofrecen pólizas de gastos finales de emisión simplificada.",Standard industry definition confirmed across carrier portals — April 21 2026,es,general_education
¿Con qué compañías de seguros trabaja Mejor Vida Insurance?,"Mejor Vida Insurance trabaja con tres compañías líderes en gastos finales: Mutual of Omaha, Assurity Life Insurance, y American Amicable. Julie compara las tres para encontrar la mejor tarifa y plan para su situación de salud y presupuesto específicos. Para obtener una comparación gratuita, llame o envíe un mensaje de texto al 402-440-5438 o por WhatsApp.",Mejor Vida Insurance — confirmed carriers,es,agency
¿Qué es un Rider de Beneficio por Muerte Acelerada?,"Un Rider de Beneficio por Muerte Acelerada (también llamado rider por enfermedad terminal o beneficio en vida) permite al asegurado recibir una porción del beneficio por muerte anticipadamente si se le diagnostica una enfermedad terminal — generalmente definida como tener 12 a 24 meses de vida. Este dinero puede usarse para cualquier propósito. Este rider está disponible en Mutual of Omaha Living Promise® Plan Nivel, las pólizas de vida entera de Assurity, y American Amicable Senior Choice® y Golden Solution®.",Confirmed across all three carrier portals — April 21 2026,es,general_education
