question,answer,locale
What is Transamerica FE Express?,"Transamerica FE Express Solution℠ is a simplified-issue final expense whole life option with level premiums. Many qualifying applicants can get full death benefit from day one without a medical exam. Graded FE Express is available when a waiting-period design fits underwriting. Typical ages start as young as 18 on Express plans.",en
¿Qué es Transamerica FE Express?,"FE Express Solution℠ de Transamerica es una vida entera de gastos finales de emisión simplificada con primas niveladas. Muchos solicitantes que califican pueden obtener el beneficio completo desde el día 1 sin examen médico. Graded FE Express existe cuando un diseño con período de espera encaja. Las edades típicas pueden comenzar desde los 18 en planes Express.",es
What is Transamerica 10-Pay Solution?,"Transamerica 10-Pay Solution is a final expense whole life portfolio option designed so premiums are scheduled for about 10 years and then the policy can be paid up, with full benefit from day one when you qualify. Julie confirms availability and amounts for your age and state.",en
¿Qué es Transamerica 10-Pay Solution?,"10-Pay Solution de Transamerica es una opción del portafolio de gastos finales pensada para pagar primas unos 10 años y luego dejar la póliza pagada, con beneficio completo desde el día 1 si califica. Julie confirma disponibilidad y montos según edad y estado.",es
What Assurity Protect+ vs Perform+ difference?,"Assurity Whole Life Protect+ and Perform+ both start around $10,000 with simplified underwriting and built-in living benefits for many ages. Protect+ is usually structured for a lower premium for the same face amount; Perform+ typically costs more monthly but is designed for stronger early cash value. Neither is branded “final expense,” but both are often used for funeral planning.",en
¿Cuál es la diferencia entre Assurity Protect+ y Perform+?,"Assurity Whole Life Protect+ y Perform+ suelen comenzar cerca de $10,000 con suscripción simplificada y beneficios en vida incluidos en muchas edades. Protect+ suele pensarse para una prima más baja por el mismo monto; Perform+ suele costar más al mes pero busca más valor en efectivo temprano. No se venden con la marca “gastos finales,” pero se usan mucho para planificar el funeral.",es
Does Corebridge offer term life or GUL?,"Yes. Besides SimpliNow Legacy and GIWL final expense, Julie can quote Corebridge / American General term life such as Select-a-Term and Secure Lifetime GUL 3 when appropriate. She does not sell Corebridge IUL or annuities as new retail products. Minimums and underwriting differ from final expense — ask Julie for a personalized quote.",en
¿Corebridge ofrece vida a término o GUL?,"Sí. Además de SimpliNow Legacy y GIWL para gastos finales, Julie puede cotizar vida a término Corebridge / American General como Select-a-Term y Secure Lifetime GUL 3 cuando corresponda. No vende IUL ni anualidades de Corebridge como producto nuevo. Los mínimos y la suscripción difieren de gastos finales — pida a Julie una cotización personalizada.",es
What Aetna Accendo vs Protection Series?,"Accendo Final Expense (Accendo Insurance Company) offers Level (ages about 40–89) and Modified (about 40–75) designs. Protection Series℠ Final Expense (Continental Life / CLI) is Level whole life typically ages 45–89. Both are no-exam final expense whole life Julie quotes through Aetna Senior Supplemental — not term, GUL, or IUL on that portal.",en
¿Qué diferencia hay entre Accendo y Protection Series de Aetna?,"Accendo Final Expense (Accendo Insurance Company) ofrece Nivelado (edades aprox. 40–89) y Modificado (aprox. 40–75). Protection Series℠ Final Expense (Continental Life / CLI) es vida entera Nivelada típicamente 45–89. Ambos son gastos finales sin examen que Julie cotiza por Aetna Senior Supplemental — no temporal, GUL ni IUL en ese portal.",es
