Symbol,Hold_Start,Hold_End,Hold_Days,Avg_Buy_Price,Avg_Sell_Price,PnL,Pct_Return,Position_Status,Earnings_During_Hold,Earnings_Date_During_Hold
BBAI,2025-11-24,2025-12-02,8,0.0,0.0,0.0,,Closed,No,
BCRX,2025-12-03,2025-12-17,14,0.0,0.0,0.0,,Closed,No,
BFB,2025-12-01,2025-12-22,21,0.0,0.0,0.0,,Closed,No,
BFLY,2025-11-11,2025-11-13,2,0.0,0.0,0.0,,Closed,No,
BFRG,2026-04-22,2026-04-24,2,0.0,0.0,0.0,,Closed,No,
BGS,2026-02-12,2026-03-18,34,0.0,0.0,0.0,,Closed,No,
BLDP,2026-04-09,,30,0.0,,0.0,,Open,Yes,2026-05-05
BMY,2025-11-11,2025-12-02,21,0.0,0.0,0.0,,Closed,No,
BRKR,,2026-01-28,,,0.0,0.0,,Open,No,
BTU,2025-12-18,2026-04-01,104,0.0,0.0,0.0,,Closed,No,
BZAI,2026-04-09,,30,0.0,,0.0,,Open,No,
CAG,2026-02-03,2026-03-10,35,0.0,0.0,0.0,,Closed,No,
CDXS,2026-04-06,2026-05-04,28,0.0,0.0,0.0,,Closed,No,
CHD,2026-01-16,2026-03-05,48,0.0,0.0,0.0,,Closed,No,
CHOW,2025-12-09,2025-12-10,1,0.0,0.0,0.0,,Closed,No,
CHYM,2025-12-01,2026-01-14,44,0.0,0.0,0.0,,Closed,No,
CIFR,2026-04-20,,19,0.0,,0.0,,Open,No,
CLBT,2025-12-19,2026-01-14,26,0.0,0.0,0.0,,Closed,No,
CLS,2026-03-26,2026-03-26,0,0.0,0.0,0.0,,Open,No,
CMCSA,2026-01-08,2026-02-26,49,0.0,0.0,0.0,,Closed,No,
CNC,2025-11-25,2025-12-16,21,0.0,0.0,0.0,,Closed,No,
CNVS,2026-02-23,2026-03-09,14,0.0,0.0,0.0,,Closed,No,
CODI,2026-04-06,,33,0.0,,0.0,,Open,No,
COMM,2025-11-11,2025-12-03,22,0.0,0.0,0.0,,Closed,No,
CPT,2025-12-17,2026-03-06,79,0.0,0.0,0.0,,Closed,No,
CRCL,2026-03-02,2026-03-25,23,0.0,0.0,0.0,,Open,No,
CRGY,2026-02-19,2026-04-01,41,0.0,0.0,0.0,,Open,No,
CRK,,2025-12-08,,,0.0,0.0,,Open,No,
CRM,2025-12-05,2026-03-09,94,0.0,0.0,0.0,,Closed,No,
CRML,2026-01-06,2026-01-29,23,0.0,0.0,0.0,,Open,No,
CRWV,2026-04-10,,29,0.0,,0.0,,Open,Yes,2026-05-07
CSX,2026-02-02,2026-03-05,31,0.0,0.0,0.0,,Closed,No,
CTRI,2025-12-02,2026-03-30,118,0.0,0.0,0.0,,Closed,No,
CURI,2025-11-19,2025-12-15,26,0.0,0.0,0.0,,Closed,No,
CWAN,2025-11-18,2025-12-09,21,0.0,0.0,0.0,,Closed,No,
CZR,2025-12-23,2026-01-07,15,0.0,0.0,0.0,,Closed,No,
DDOG,2026-03-06,2026-03-20,14,0.0,0.0,0.0,,Closed,No,
DELL,2026-03-05,,65,0.0,,0.0,,Open,No,
DGXX,2026-03-02,2026-03-06,4,0.0,0.0,0.0,,Closed,No,
DHR,,2026-01-28,,,0.0,0.0,,Open,No,
DJT,2026-01-08,2026-01-30,22,0.0,0.0,0.0,,Closed,No,
DNUT,,2026-01-07,,,0.0,0.0,,Open,No,
DOW,2025-12-10,2025-12-16,6,0.0,0.0,0.0,,Open,No,
DXC,2025-12-09,2026-01-05,27,0.0,0.0,0.0,,Closed,No,
EBAY,2026-04-14,,25,0.0,,0.0,,Open,No,
ENPH,2026-01-27,2026-03-27,59,0.0,0.0,0.0,,Closed,No,
ETSY,2026-04-16,,23,0.0,,0.0,,Open,No,
EVLV,2026-04-09,2026-04-09,0,0.0,0.0,0.0,,Closed,No,
EVTL,2025-12-04,2025-12-17,13,0.0,0.0,0.0,,Closed,No,
EXTR,2026-04-09,,30,0.0,,0.0,,Open,Yes,2026-04-29
FLEX,2026-03-25,2026-03-26,1,0.0,0.0,0.0,,Open,No,
FLY,2025-12-22,2026-03-27,95,0.0,0.0,0.0,,Open,No,
FMC,2026-03-26,2026-04-22,27,0.0,0.0,0.0,,Closed,No,
FNGD,2025-11-20,2026-04-01,132,0.0,0.0,0.0,,Open,No,
FNKO,2026-02-25,2026-03-02,5,0.0,0.0,0.0,,Closed,No,
FRMI,2026-02-25,2026-02-27,2,0.0,0.0,0.0,,Closed,No,
FRPT,2025-12-03,2025-12-19,16,0.0,0.0,0.0,,Closed,No,
FRSH,2025-12-02,2025-12-15,13,0.0,0.0,0.0,,Closed,No,
FSLY,2026-03-02,2026-03-30,28,0.0,0.0,0.0,,Closed,No,
FUN,2026-03-26,2026-04-02,7,0.0,0.0,0.0,,Closed,No,
G,2025-11-11,2026-01-20,70,0.0,0.0,0.0,,Closed,No,
GCT,2025-11-19,2026-02-11,84,0.0,0.0,0.0,,Closed,No,
GEMI,2026-03-10,2026-03-12,2,0.0,0.0,0.0,,Closed,No,
GEO,2026-04-02,2026-04-20,18,0.0,0.0,0.0,,Closed,No,
GEV,2025-12-04,2026-01-09,36,0.0,0.0,0.0,,Closed,No,
GEVO,2026-03-06,2026-04-07,32,0.0,0.0,0.0,,Closed,No,
GLBE,2025-12-02,2025-12-08,6,0.0,0.0,0.0,,Closed,No,
GLW,2026-03-10,2026-03-26,16,0.0,0.0,0.0,,Closed,No,
GM,,2025-11-14,,,0.0,0.0,,Open,No,
GME,2026-03-11,2026-03-13,2,0.0,0.0,0.0,,Closed,No,
GOOG,2026-04-14,,25,0.0,,0.0,,Open,No,
GSIT,2026-01-20,2026-01-29,9,0.0,0.0,0.0,,Closed,No,
GT,2025-11-25,2025-12-09,14,0.0,0.0,0.0,,Closed,No,
GWRE,2026-03-17,2026-03-19,2,0.0,0.0,0.0,,Closed,No,
HAL,,2025-11-17,,,0.0,0.0,,Open,No,
HL,2026-02-20,2026-03-03,11,0.0,0.0,0.0,,Closed,No,
HOG,2026-04-02,2026-05-04,32,0.0,0.0,0.0,,Closed,No,
HP,,2026-04-17,,,0.0,0.0,,Open,No,
HPE,2026-04-02,,37,0.0,,0.0,,Open,No,
HSIC,,2026-01-29,,,0.0,0.0,,Open,No,
HSY,2026-03-26,2026-03-26,0,0.0,0.0,0.0,,Closed,No,
HTZ,2026-04-09,2026-04-22,13,0.0,0.0,0.0,,Closed,No,
HUN,2025-11-26,2025-12-16,20,0.0,0.0,0.0,,Closed,No,
IBM,2026-03-03,2026-03-09,6,0.0,0.0,0.0,,Closed,No,
IMSR,2026-01-16,2026-01-30,14,0.0,0.0,0.0,,Closed,No,
INFY,2025-12-19,2025-12-22,3,0.0,0.0,0.0,,Closed,No,
INSP,2025-12-02,2025-12-12,10,0.0,0.0,0.0,,Closed,No,
INTC,2026-04-02,,37,0.0,,0.0,,Open,No,
IONQ,2026-04-30,,9,0.0,,0.0,,Open,No,
IOVA,2025-12-22,2026-01-02,11,0.0,0.0,0.0,,Closed,No,
IREN,2026-01-12,2026-04-29,107,0.0,0.0,0.0,,Closed,No,
IRT,2025-12-29,2026-01-05,7,0.0,0.0,0.0,,Closed,No,
JACK,2025-12-12,2025-12-19,7,0.0,0.0,0.0,,Closed,No,
JANX,2025-11-25,2025-12-02,7,0.0,0.0,0.0,,Closed,No,
JBLU,2026-02-05,2026-03-02,25,0.0,0.0,0.0,,Closed,No,
JBS,2026-01-16,2026-03-03,46,0.0,0.0,0.0,,Closed,No,
KLTR,2025-12-10,2026-01-02,23,0.0,0.0,0.0,,Closed,No,
KMB,2026-02-11,2026-03-03,20,0.0,0.0,0.0,,Closed,No,
KMX,2026-01-13,2026-04-14,91,0.0,0.0,0.0,,Closed,No,
KNX,2025-12-03,2026-03-06,93,0.0,0.0,0.0,,Closed,No,
KOS,2026-01-27,2026-03-11,43,0.0,0.0,0.0,,Closed,No,
KSS,2025-11-10,2025-11-13,3,0.0,0.0,0.0,,Closed,No,
LAC,2026-01-12,2026-01-29,17,0.0,0.0,0.0,,Open,No,
LAES,,2025-11-13,,,0.0,0.0,,Open,No,
LLY,,2025-12-03,,,0.0,0.0,,Open,No,
LOAR,2026-03-05,2026-03-06,1,0.0,0.0,0.0,,Closed,No,
LULU,2025-11-26,2026-01-09,44,0.0,0.0,0.0,,Closed,No,
LUMN,2026-01-15,2026-01-20,5,0.0,0.0,0.0,,Open,No,
LUNG,2025-12-10,2025-12-22,12,0.0,0.0,0.0,,Closed,No,
LUNR,2025-12-22,2026-03-30,98,0.0,0.0,0.0,,Closed,No,
LWLG,2026-03-10,2026-03-30,20,0.0,0.0,0.0,,Closed,No,
LYB,2026-02-03,2026-04-17,73,0.0,0.0,0.0,,Closed,No,
MAGN,2025-12-10,2026-01-28,49,0.0,0.0,0.0,,Closed,No,
MARA,2026-04-13,,26,0.0,,0.0,,Open,No,
MDAI,2026-03-24,2026-03-25,1,0.0,0.0,0.0,,Closed,No,
MDB,,2025-11-13,,,0.0,0.0,,Open,No,
METC,2026-01-20,2026-01-29,9,0.0,0.0,0.0,,Closed,No,
MKC,2026-02-12,2026-03-03,19,0.0,0.0,0.0,,Closed,No,
MMM,2025-11-10,2025-11-17,7,0.0,0.0,0.0,,Closed,No,
MP,2026-01-07,2026-03-13,65,0.0,0.0,0.0,,Open,No,
MREO,2025-12-22,2025-12-29,7,0.0,0.0,0.0,,Closed,No,
MRK,2025-11-10,2026-04-20,161,0.0,0.0,0.0,,Closed,No,
MRVL,2025-12-19,2026-03-30,101,0.0,0.0,0.0,,Open,No,
MSFT,2026-03-03,2026-03-10,7,0.0,0.0,0.0,,Closed,No,
MSTR,2026-04-20,,19,0.0,,0.0,,Open,No,
MU,2026-03-10,2026-03-20,10,0.0,0.0,0.0,,Closed,No,
NAVN,2026-04-07,,32,0.0,,0.0,,Open,No,
NBIS,2026-01-12,2026-04-24,102,0.0,0.0,0.0,,Closed,No,
NE,2025-12-03,2025-12-12,9,0.0,0.0,0.0,,Closed,No,
NET,2026-03-06,2026-04-09,34,0.0,0.0,0.0,,Closed,No,
NEXT,2026-03-04,,66,0.0,,0.0,,Open,No,
NFLX,2026-03-03,2026-04-16,44,0.0,0.0,0.0,,Closed,No,
NIQ,2025-12-12,2026-02-02,52,0.0,0.0,0.0,,Closed,No,
NML,2025-12-04,2025-12-11,7,0.0,0.0,0.0,,Closed,No,
NOG,2026-01-27,2026-04-10,73,0.0,0.0,0.0,,Closed,No,
NOW,2026-03-06,2026-03-09,3,0.0,0.0,0.0,,Closed,No,
NTR,2025-12-23,2026-01-07,15,0.0,0.0,0.0,,Closed,No,
NU,2025-11-26,2025-12-05,9,0.0,0.0,0.0,,Closed,No,
NUAI,2026-01-13,2026-02-12,30,0.0,0.0,0.0,,Closed,No,
NVCR,2025-12-11,2026-01-20,40,0.0,0.0,0.0,,Closed,No,
NVDA,2025-12-08,2026-02-03,57,0.0,0.0,0.0,,Open,No,
NVO,2026-01-05,2026-02-03,29,0.0,0.0,0.0,,Closed,No,
NVTS,2026-04-20,,19,0.0,,0.0,,Open,No,
OKE,2025-12-01,2026-02-24,85,0.0,0.0,0.0,,Closed,No,
OMEX,,2025-11-13,,,0.0,0.0,,Open,No,
ON,2025-12-03,2026-03-05,92,0.0,0.0,0.0,,Closed,No,
ONDS,2026-01-02,2026-03-20,77,0.0,0.0,0.0,,Closed,No,
ONTO,2025-12-02,2026-03-06,94,0.0,0.0,0.0,,Closed,No,
ORCL,2026-04-16,,23,0.0,,0.0,,Open,No,
PBI,2026-04-01,,38,0.0,,0.0,,Open,Yes,2026-05-05
PCG,,2025-11-19,,,0.0,0.0,,Open,No,
PD,2026-03-06,2026-03-09,3,0.0,0.0,0.0,,Closed,No,
PG,2026-02-02,2026-03-11,37,0.0,0.0,0.0,,Closed,No,
PGEN,2026-02-17,2026-02-19,2,0.0,0.0,0.0,,Closed,No,
PL,2025-12-04,2026-03-30,116,0.0,0.0,0.0,,Closed,No,
PLTK,,2025-11-19,,,0.0,0.0,,Open,No,
PLTR,2025-12-05,2026-03-26,111,0.0,0.0,0.0,,Closed,No,
PLUG,2026-04-06,,33,0.0,,0.0,,Open,No,
PROP,2026-04-01,2026-04-09,8,0.0,0.0,0.0,,Closed,No,
PTEN,,2025-11-17,,,0.0,0.0,,Open,No,
PURR,2026-03-17,2026-03-19,2,0.0,0.0,0.0,,Open,No,
PYPL,2026-04-20,2026-05-05,15,0.0,0.0,0.0,,Closed,No,
Q,2026-01-06,2026-03-03,56,0.0,0.0,0.0,,Closed,No,
QBTS,2026-01-02,2026-01-20,18,0.0,0.0,0.0,,Closed,No,
QS,,2025-11-13,,,0.0,0.0,,Open,No,
QTRX,2025-11-24,2025-12-17,23,0.0,0.0,0.0,,Closed,No,
QUBT,2026-04-21,,18,0.0,,0.0,,Open,No,
RCAT,2026-03-11,2026-03-19,8,0.0,0.0,0.0,,Closed,No,
RCT,2025-11-10,2025-11-13,3,0.0,0.0,0.0,,Closed,No,
RDDT,2025-11-25,2026-01-16,52,0.0,0.0,0.0,,Closed,No,
RDW,2026-01-08,2026-02-05,28,0.0,0.0,0.0,,Closed,No,
RELY,2026-02-26,2026-03-27,29,0.0,0.0,0.0,,Closed,No,
RES,2026-03-12,2026-05-08,57,0.0,0.0,0.0,,Open,No,
RH,2025-12-23,2026-02-23,62,0.0,0.0,0.0,,Closed,No,
RIG,2025-11-10,2025-11-20,10,0.0,0.0,0.0,,Closed,No,
RIOT,2026-04-06,,33,0.0,,0.0,,Open,No,
RR,2026-01-12,2026-01-30,18,0.0,0.0,0.0,,Closed,No,
RVTY,2025-11-25,2025-12-16,21,0.0,0.0,0.0,,Closed,No,
RXT,2026-03-16,2026-03-17,1,0.0,0.0,0.0,,Closed,No,
SABR,2026-03-10,2026-03-30,20,0.0,0.0,0.0,,Closed,No,
SATS,2026-03-11,2026-03-18,7,0.0,0.0,0.0,,Open,No,
SEI,2026-03-25,2026-03-27,2,0.0,0.0,0.0,,Closed,No,
SKYT,2026-02-26,2026-03-27,29,0.0,0.0,0.0,,Open,No,
SLI,2026-01-06,2026-01-30,24,0.0,0.0,0.0,,Closed,No,
SM,2026-02-18,2026-04-01,42,0.0,0.0,0.0,,Closed,No,
SNDK,2026-03-10,2026-04-15,36,0.0,0.0,0.0,,Closed,No,
SNOW,2026-03-06,2026-03-10,4,0.0,0.0,0.0,,Closed,No,
SNX,2026-04-07,,32,0.0,,0.0,,Open,No,
SOC,2026-01-12,2026-04-01,79,0.0,0.0,0.0,,Closed,No,
SOUN,2026-04-21,,18,0.0,,0.0,,Open,No,
SPOT,2026-03-05,2026-03-11,6,0.0,0.0,0.0,,Closed,No,
SQQQ,2025-11-18,2025-11-24,6,0.0,0.0,0.0,,Closed,No,
SSSS,2026-04-01,2026-05-08,37,0.0,0.0,0.0,,Closed,No,
STM,2026-04-02,,37,0.0,,0.0,,Open,No,
STX,2026-03-16,2026-03-26,10,0.0,0.0,0.0,,Closed,No,
SUPV,2025-11-25,2026-01-15,51,0.0,0.0,0.0,,Closed,No,
TDC,2026-02-18,2026-02-20,2,0.0,0.0,0.0,,Closed,No,
TMF,,2025-12-01,,,0.0,0.0,,Open,No,
TMQ,2026-01-08,2026-01-29,21,0.0,0.0,0.0,,Closed,No,
TMUS,2026-02-23,2026-02-26,3,0.0,0.0,0.0,,Closed,No,
TRON,2026-04-15,2026-04-24,9,0.0,0.0,0.0,,Closed,No,
TRX,2026-02-20,2026-03-03,11,0.0,0.0,0.0,,Closed,No,
TSLA,2026-05-07,,2,0.0,,0.0,,Open,No,
TSM,2025-11-26,2026-03-26,120,0.0,0.0,0.0,,Closed,No,
TSN,2025-12-10,2026-01-05,26,0.0,0.0,0.0,,Closed,No,
TSSI,2026-03-12,2026-05-07,56,0.0,0.0,0.0,,Closed,No,
TWLO,,2026-01-14,,,0.0,0.0,,Open,No,
TWO,2025-11-25,2026-01-30,66,0.0,0.0,0.0,,Closed,No,
TXN,2025-12-05,2026-02-19,76,0.0,0.0,0.0,,Closed,No,
UAMY,2026-01-07,2026-03-11,63,0.0,0.0,0.0,,Closed,No,
UDR,2026-02-10,2026-02-20,10,0.0,0.0,0.0,,Closed,No,
UNG,,2025-12-08,,,0.0,0.0,,Open,No,
UNH,2025-12-12,2025-12-18,6,0.0,0.0,0.0,,Closed,No,
UPST,2025-12-10,2026-01-12,33,0.0,0.0,0.0,,Closed,No,
USAR,2026-01-20,2026-02-12,23,0.0,0.0,0.0,,Open,No,
UUUU,2026-01-12,2026-03-05,52,0.0,0.0,0.0,,Closed,No,
V,2025-12-19,2026-01-12,24,0.0,0.0,0.0,,Closed,No,
VET,2025-11-18,2025-12-16,28,0.0,0.0,0.0,,Closed,No,
VFC,2025-11-24,2026-03-02,98,0.0,0.0,0.0,,Closed,No,
VFS,2026-04-07,,32,0.0,,0.0,,Open,No,
VG,2026-03-02,2026-04-01,30,0.0,0.0,0.0,,Closed,No,
VIR,2025-12-04,2025-12-17,13,0.0,0.0,0.0,,Closed,No,
VNOM,2026-01-29,2026-03-03,33,0.0,0.0,0.0,,Closed,No,
VRSK,2026-03-05,2026-03-10,5,0.0,0.0,0.0,,Closed,No,
VRT,2026-01-12,2026-03-26,73,0.0,0.0,0.0,,Closed,No,
VST,2026-01-14,2026-04-17,93,0.0,0.0,0.0,,Closed,No,
VSTS,2025-11-18,2026-01-28,71,0.0,0.0,0.0,,Closed,No,
VZ,2026-02-03,2026-03-18,43,0.0,0.0,0.0,,Closed,No,
WDAY,2026-03-05,2026-03-09,4,0.0,0.0,0.0,,Closed,No,
WMT,2025-11-11,2026-03-18,127,0.0,0.0,0.0,,Open,No,
WOLF,2026-03-02,2026-04-10,39,0.0,0.0,0.0,,Open,No,
WTI,2026-03-26,2026-04-10,15,0.0,0.0,0.0,,Closed,No,
WU,2025-11-13,2026-01-13,61,0.0,0.0,0.0,,Closed,No,
WULF,2026-04-20,,19,0.0,,0.0,,Open,No,
WYFI,2026-01-27,2026-01-30,3,0.0,0.0,0.0,,Closed,No,
XPOF,2025-12-24,2026-01-05,12,0.0,0.0,0.0,,Closed,No,
XTIA,2026-01-20,2026-03-30,69,0.0,0.0,0.0,,Closed,No,
XYZ,2026-02-26,2026-02-26,0,0.0,0.0,0.0,,Closed,No,
ZETA,2025-12-30,2026-01-20,21,0.0,0.0,0.0,,Closed,No,
ZIM,2025-11-13,2025-12-12,29,0.0,0.0,0.0,,Closed,No,
ZM,2025-12-08,2026-02-23,77,0.0,0.0,0.0,,Closed,No,
ZS,2026-03-06,2026-03-10,4,0.0,0.0,0.0,,Closed,No,
